source,target
"كيف حالك؟","كيف داير؟"
"أنا ذاهب إلى السوق","غادي نمشي للسوق"
"ماذا تفعل؟","شنو كتدير؟"
"أين أنت؟","فينك؟"
"أنا مشغول الآن","أنا مشغول دابا"
"هل لديك وقت؟","واش عندك الوقت؟"
"ليس لدي وقت","ماعنديش الوقت"
"ماذا هناك؟","أش واقع؟ / شنو كاين؟"
"لا شيء","والو"
"أنا أمزح فقط","غير كنضحك"
"لا تقلق","ماتخافش / ما تخممش"
"اهدأ","تهدن / برد"
"هذا صحيح","هادشي بصح"
"هذا خطأ","هادشي ماشي هو هداك"
"أعتقد ذلك","كنظن"
"لا أعتقد ذلك","ماكنظنش"
"دعني أرى","خليني نشوف"
"أحتاج أن أفكر","خاصني نفكر"
"هذا يكفي","باراكا"
"أكثر","كتر"
"أقل","قل"
"هذا لي","هذا ديالي"
"هذا لك","هذا ديالك"
"أنا أعمل","أنا خدام"
"أنا أدرس","كنقرا"
"أنا في البيت","أنا فالدار"
"أنا ذاهب للسوق","أنا غادي للسوق"
"سأشتري الخضار","غادي نشري الخضرة"
"أنا أطبخ العشاء","كنطيب العشا"
"أنا أنظف الغرفة","كنجمع البيت"
"أغسل الملابس","كنصبن الحوايج"
"أغسل الصحون","كنغسل الماعن"
"أنا أشاهد التلفاز","كنتفرج ف التلفزة"
"أنا أستمع للموسيقى","كنسمع الموسيقى"
"أريد أن أستريح","بغيت نرتاح"
"أشعر بالملل","قنطت / فيا القنط"
"أشعر بالنعاس","فيا النعاس"
"أنا غاضب","أنا معصب"
"أنا خائف","أنا خايف"
"الجو حار جداً","الجو سخون بزاف"
"الجو بارد جداً","الجو بارد بزاف"
"إنها تمطر","الشتا كطيح"
"هناك ريح","كاين الريح"
"الشمس مشرقة","الشمس طالعة"
"أغلق الباب","سد الباب"
"افتح النافذة","حل السرجم"
"أشعل الضوء","شعل الضو"
"أطفئ الضوء","طفي الضو"
"ارفع صوت الموسيقى","زيد ف الموسيقى"
"اخفض صوت الموسيقى","نقص من الموسيقى"
"هذا غريب","هادشي غريب"
"هذا طبيعي","هادشي عادي"
"هذا سهل","هادشي ساهل"
"هذا صعب","هادشي صعيب"
"مرة أخرى","مرة خرى / عاوتاني"
"دائماً","ديما"
"أبداً","أبداً / جامي"
"أحياناً","مرة مرة / بعض المرات"
"ربما","يمكن"
"بالتأكيد","أكيد / بيان سير"
"ليس بعد","مازال / باقي"
"لقد وصلت","أنا وصلت"
"أنا قادم","أنا جاي"
"سأعود","غادي نرجع"
"هو ذهب","هو مشا"
"هي جاءت","هي جات"
"نحن هنا","حنا هنا"
"هم هناك","هوما لهيه"
"ما رأيك؟","أش بان ليك؟"
"نفس الشيء","بحال بحال"
"مختلف","مختلف"
"لا يهم","ماشي مهم / ماكيهمش"
"بالصحة والراحة","بصحتك / بالصحة"
"الله يعطيك الصحة","الله يعطيك الصحة"
"مبروك","مبروك"
"الله يبارك فيك","الله يبارك فيك"
"حظ سعيد","حظ سعيد"
"انتبه لنفسك","تهلا ف راسك"
"هل أنت متأكد؟","واش متأكد؟"
"أنا متأكد","أنا متأكد"
"لدي سؤال","عندي سؤال"
"ما هو هذا؟","شنو هادا؟"
"لماذا أنت هنا؟","علاش نتا هنا؟"
"متى سنأكل؟","فوقاش غانكلو؟"
"أين المفاتيح؟","فين السوارث؟"
"نسيت","نسيت"
"تذكرت","تفكرت"
"لا أستطيع","ما نقدرش"
"أنا أستطيع","أنا نقدر"
"هل يمكنك مساعدتي؟","واش تقدر تعاوني؟"
"بالطبع","بطبيعة الحال"
"تفضل (للرجال)","هاك"
"تفضلي (للنساء)","هاكي"
